geo,year,EULaborMarket-SectoralEmployment__total_employment
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
CZ0,2011,5031900.0
