geo,year,EULaborMarket-TotalEmployment__total_employment
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2010,4875000.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
CZ0,2011,4865800.0
